Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2021-04-02,HUJu6AdGOk,zJlvUiMLou,Fm7jLH1lAB,Barbell Incline Bench Press,12,24.947610018960187,fake_id_848
2021-08-25,Rn6VDxiH2b,9VAkz3bNl4,rTeFsHMSfe,Decline Push Up,9,0.0,fake_id_879
2021-03-31,JkzNc0gF0q,9VAkz3bNl4,ratKHN7npU,Decline Push Up,6,0.0,fake_id_877
2021-07-24,EvnhkkalIF,243X43p1XP,k8BENDtwWA,Seated Leg Curl,10,23.0,fake_id_868
2021-05-27,szSeHOE6Gl,k3yxx2a6oz,Fb629JSV7u,Seated Machine Calf Press,10,99.79044007584075,fake_id_850
2021-04-04,0af6HnlY7C,xPS7RzoOGm,924Ze4X5Af,Bent Over Barbell Row,10,40.82336184920758,fake_id_871
2021-12-25,RhphiKfN6w,AF7Qq7XK2r,9bzyLRUObY,Air Squats,15,0.0,fake_id_860
2021-04-20,AJYLU3nDOX,Gx6Z2fevPD,WYWzSDkTn6,Incline Dumbbell Row,6,27.215574566138386,fake_id_838
2021-12-06,eKNQnWzKx9,omtypRFVyt,XOhiBBphgy,Power Clean,10,18.14371637742559,fake_id_881
2021-03-01,KtlQ5Pmom1,r4bOO0fDTv,YyfpJj0FWf,Plank,0,0.0,fake_id_862
2022-01-05,1WLkPMgT1N,ACSgVaipTW,yKvnUtQ5Wo,Dumbbell Squeeze Press,10,18.14371637742559,fake_id_836
2021-10-26,JzF99KdBs3,UThEK7cf4f,R8gQMKeAL2,Machine Fly,15,52.16318458509857,fake_id_836
2021-10-16,gTgLp9bG1O,crpeAKEXTd,HlJloHzRM3,TRX Atomic Push Up,9,0.0,fake_id_834
2021-12-22,HsPzo8unnq,jJmv4Zv028,FECkAwMRKC,Overhead Weighted Sit Up,3,29.483539113316585,fake_id_846
2021-01-25,qBoLlYUFn1,9fptvki4pW,rYwW8I9bJF,Barbell Hip Thrust,4,83.91468824559335,fake_id_894
2021-04-28,qsrV3vrDQH,C4tOdXyE0R,qAo4y4Wpxj,Cable Hip Abduction,15,4.535929094356398,fake_id_872
2021-05-06,ULYphHFaET,zJlvUiMLou,GMgEaKbQmb,Barbell Incline Bench Press,6,55.0,fake_id_849
2021-06-09,snAKzgGRAy,DhkjvJNsNR,E0AvVSvQTh,Sit Up,11,12.5,fake_id_858
2021-05-02,Aur45bauKg,zJlvUiMLou,SLmKvjr82i,Barbell Incline Bench Press,6,83.91468824559335,fake_id_864
2021-05-22,tSTeBD1XZx,vWKV6qv8Pv,9vzo9MMioi,Clean and Jerk,5,40.0,fake_id_867
2021-07-23,T9EYGuksq8,9q2Cdgm0FM,SoVAIOoQN0,Machine Leg Press,10,99.79044007584075,fake_id_850
2021-05-06,nUkytkRNPp,pGKwaDfr6n,l5rSdBzG61,Glute Ham Raise Situp,11,0.0,fake_id_852
2021-12-12,jkQ2q5LaHH,r4bOO0fDTv,F0gT9mUTYM,Plank,0,0.0,fake_id_865
2021-06-01,SyCUlWN7NH,06kzIMnTzR,5XTTAHe40m,Oblique Crunch,8,0.0,fake_id_875
2021-07-28,ab3Gka3har,AF7Qq7XK2r,AzVwL44UEo,Air Squats,8,0.0,fake_id_877
2021-02-28,c4JrbgHeuc,AOQBAQ8rXC,LPiZxZ8N04,Pendlay Row,10,45.0,fake_id_855
2022-01-09,Ja4kXeWbCr,dOrcZrFXST,5XT3tEtB0k,Handle Band Pec Fly,8,0.0,fake_id_881
2021-05-05,2aii1FDvJ1,uHBREgyju0,iW0zebCQEn,Step Up,4,0.0,fake_id_871
2022-01-08,inwPXGSaS1,xPS7RzoOGm,JfH0YPR7qb,Bent Over Barbell Row,8,43.091326396385774,fake_id_852
